row_type,model,variable,lead,tcc_weighted,sample_tcc,sample_id,sample_lat,sample_lon,n_target_weeks,time_start,time_end,grid,sample_grid,sample_seed,sample_size,sample_valid_count,sample_mean,sample_std,tcc_definition,sample_definition
sample,CMA,all,1,0.3364814059130148,0.4497717022895813,2.0,62.5,5.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.3475843220949173,3.0,-30.0,262.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.292700856924057,4.0,-45.0,30.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.5209301561117172,5.0,-15.0,92.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.39738722145557404,6.0,-40.0,337.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.326349712908268,7.0,-25.0,295.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.37415851652622223,8.0,57.5,57.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.28726817667484283,9.0,10.0,57.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.2899095118045807,10.0,7.5,297.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CMA,all,1,0.3364814059130148,0.26524753123521805,11.0,-57.5,187.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.33858665976673363,0.10535049471435007,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
